Index,Title,Available Brands,Link
0,10 Vitamin & 6 Mineral [Pregnancy and Breast Feeding Formula],5,https://medex.com.bd/generics/779/10-vitamin-6-mineral-pregnancy-and-breast-feeding-formula
1,15 vitamins and minerals,1,https://medex.com.bd/generics/2131/15-vitamins-and-minerals
2,17 β Estradiol,1,https://medex.com.bd/generics/2105/17-v-estradiol
3,6 essential Nutrients with Omega-3,1,https://medex.com.bd/generics/2328/6-essential-nutrients-with-omega-3
4,Abametapir,1,https://medex.com.bd/generics/2196/abametapir
5,Abemaciclib,4,https://medex.com.bd/generics/2043/abemaciclib
6,Abiraterone Acetate,7,https://medex.com.bd/generics/1294/abiraterone-acetate
7,Acalabrutinib,2,https://medex.com.bd/generics/2040/acalabrutinib
8,Acarbose,5,https://medex.com.bd/generics/27/acarbose
9,Aceclofenac,135,https://medex.com.bd/generics/3/aceclofenac
10,Acemetacin,1,https://medex.com.bd/generics/21/acemetacin
11,Acetate Formulation [Hemodialysis Solution],1,https://medex.com.bd/generics/184/acetate-formulation-hemodialysis-solution
12,Acetazolamide,2,https://medex.com.bd/generics/26/acetazolamide
13,Acetylcysteine,14,https://medex.com.bd/generics/6/acetylcysteine
14,Acidic component [HCO3 Hemodialysis Solution],5,https://medex.com.bd/generics/177/acidic-component-hco3-hemodialysis-solution
15,Acitretin,6,https://medex.com.bd/generics/25/acitretin
16,Aclidinium Bromide + Formoterol Fumarate,1,https://medex.com.bd/generics/2060/aclidinium-bromide-formoterol-fumarate
17,ACM Topical Preparation,26,https://medex.com.bd/generics/2303/acm-topical-preparation
18,Activated Charcoal,1,https://medex.com.bd/generics/22/activated-charcoal
19,Acyclovir (Injection),13,https://medex.com.bd/generics/7/acyclovir-injection
0,Acyclovir (Ophthalmic),9,https://medex.com.bd/generics/13/acyclovir-ophthalmic
1,Acyclovir (Oral),17,https://medex.com.bd/generics/12/acyclovir-oral
2,Acyclovir (Topical),4,https://medex.com.bd/generics/9/acyclovir-topical
3,Acyclovir + Hydrocortisone,5,https://medex.com.bd/generics/10/acyclovir-hydrocortisone
4,Adalimumab,4,https://medex.com.bd/generics/31/adalimumab
5,Adapalene,8,https://medex.com.bd/generics/14/adapalene
6,Adapalene + Benzoyl peroxide,8,https://medex.com.bd/generics/11/adapalene-benzoyl-peroxide
7,Adefovir Dipivoxil,2,https://medex.com.bd/generics/15/adefovir-dipivoxil
8,Adenosine,1,https://medex.com.bd/generics/23/adenosine
9,Adenosine + Cytochrome-C + Sodium Succinate + Nicotinamide,9,https://medex.com.bd/generics/32/adenosine-cytochrome-c-sodium-succinate-nicotinamide
10,Adhatoda vasica + Centella asiatica,1,https://medex.com.bd/generics/1893/adhatoda-vasica-centella-asiatica
11,Adrenaline,4,https://medex.com.bd/generics/28/adrenaline
12,Adsorbed tetanus vaccine,2,https://medex.com.bd/generics/1057/adsorbed-tetanus-vaccine
13,Afatinib Dimaleate,3,https://medex.com.bd/generics/1849/afatinib-dimaleate
14,Aflibercept,1,https://medex.com.bd/generics/1287/aflibercept
15,Agomelatine,2,https://medex.com.bd/generics/35/agomelatine
16,Albendazole,96,https://medex.com.bd/generics/16/albendazole
17,Albumin (Human),9,https://medex.com.bd/generics/545/albumin-human
18,Alcaftadine,10,https://medex.com.bd/generics/29/alcaftadine
19,Alectinib,2,https://medex.com.bd/generics/1501/alectinib
0,Alendronic acid,2,https://medex.com.bd/generics/30/alendronic-acid
1,Alendronic Acid + Vitamin D3,2,https://medex.com.bd/generics/37/alendronic-acid-vitamin-d3
2,Alfacalcidol,1,https://medex.com.bd/generics/40/alfacalcidol
3,Alfuzosin Hydrochloride,4,https://medex.com.bd/generics/41/alfuzosin-hydrochloride
4,Algae Calcium + Vitamin D3,21,https://medex.com.bd/generics/1772/algae-calcium-vitamin-d3
5,Allium cepa + Heparin + Allantoin,1,https://medex.com.bd/generics/2031/allium-cepa-heparin-allantoin
6,Allopurinol,10,https://medex.com.bd/generics/17/allopurinol
7,Allylestrenol,8,https://medex.com.bd/generics/1369/allylestrenol
8,Almitrine Bismesylate + Raubasine,3,https://medex.com.bd/generics/39/almitrine-bismesylate-raubasine
9,Almotriptan,2,https://medex.com.bd/generics/44/almotriptan
10,Aloe Vera & Vitamin E Acetate,1,https://medex.com.bd/generics/2386/aloe-vera-vitamin-e-acetate
11,Aloe Vera Gel,1,https://medex.com.bd/generics/2234/aloe-vera-gel
12,Alogliptin Benzoate,9,https://medex.com.bd/generics/1871/alogliptin-benzoate
13,Alpelisib,1,https://medex.com.bd/generics/2437/alpelisib
14,Alpha Lipoic Acid,3,https://medex.com.bd/generics/2054/alpha-lipoic-acid
15,Alphanate,1,https://medex.com.bd/generics/1167/alphanate
16,Alprazolam,25,https://medex.com.bd/generics/18/alprazolam
17,Alteplase,1,https://medex.com.bd/generics/1499/alteplase
18,Aluminium Chloride + Melaleuca Alternifolia Oil + Geothermal water,1,https://medex.com.bd/generics/1829/aluminium-chloride-melaleuca-alternifolia-oil-geothermal-water
19,Aluminium Chloride Hexahydrate,3,https://medex.com.bd/generics/45/aluminium-chloride-hexahydrate
